profit,poids,Nombre génération,Nombre population,Nombre meilleur solution sélectionnée,Probabilité crossover,Probabilité mutation,Items sélectionnés,Type population initiale
970,970,"75,55",350,150,45,0.5,0.3,LOW,8.567089796066284
970,970,"75,53,85",350,150,45,0.5,0.3,HIGH,8.645879030227661
970,970,"4,48",350,140,42,0.5,0.3,LOW,8.679788589477539
925,939,"84,85,31",350,130,39,0.5,0.3,HIGH,8.689764022827148
970,970,"2,12,32",350,150,45,0.5,0.3,MEDIUM,8.799468517303467
970,970,"2,99",350,140,42,0.5,0.3,MEDIUM,8.82440185546875
970,970,"74,92,77",350,140,42,0.5,0.3,HIGH,8.876262903213501
970,970,"46,22,28",350,110,33,0.5,0.3,MEDIUM,7.266290187835693
970,970,"2,12,77,85",350,130,39,0.5,0.3,MEDIUM,7.694146394729614
887,943,"46,84,85,27",350,120,36,0.5,0.3,HIGH,7.594412565231323
970,970,"2,3,77",350,130,39,0.5,0.3,LOW,7.6981353759765625
970,970,"74,75,52",350,120,36,0.5,0.3,LOW,7.6572442054748535
970,970,"4,48",350,120,36,0.5,0.3,MEDIUM,7.743014097213745
925,939,"2,35,92,61",350,110,33,0.5,0.3,HIGH,7.623336315155029
970,970,"73,13",350,110,33,0.5,0.3,LOW,8.709680795669556
970,970,"28,48",350,100,30,0.5,0.3,MEDIUM,8.738603830337524
970,970,"2,54",350,100,30,0.5,0.3,HIGH,8.880223274230957
970,970,"2,52,44",350,100,30,0.5,0.3,LOW,8.92011833190918
970,970,"2,83",350,90,27,0.5,0.3,LOW,8.79445481300354
970,970,"2,46,85,22",350,90,27,0.5,0.3,HIGH,9.035809755325317
970,970,"75,46,53,28",350,90,27,0.5,0.3,MEDIUM,9.032818794250488
970,970,"2,68,22",350,80,24,0.5,0.3,LOW,8.19302749633789
970,970,"48,53,63",350,80,24,0.5,0.3,HIGH,8.471283197402954
970,970,"2,44",350,70,21,0.5,0.3,HIGH,8.258897304534912
970,970,"19,22",350,70,21,0.5,0.3,MEDIUM,8.353643655776978
970,970,"2,28,53",350,70,21,0.5,0.3,LOW,8.45038390159607
970,970,"52,21",350,80,24,0.5,0.3,MEDIUM,8.950047016143799
970,970,"92,53,46,45",350,60,18,0.5,0.3,HIGH,8.62292218208313
970,970,"11,13,53",350,60,18,0.5,0.3,MEDIUM,8.236278057098389
970,970,"2,60,52",350,60,18,0.5,0.3,LOW,8.49757981300354
925,939,"68,39,75,52",350,50,15,0.5,0.3,MEDIUM,8.284971714019775
970,970,"2,85,48",350,50,15,0.5,0.3,HIGH,8.67846941947937
970,970,"92,85,45,53",350,40,12,0.5,0.3,HIGH,8.766370058059692
970,970,"1,63",350,50,15,0.5,0.3,LOW,8.975811004638672
925,939,"75,82,84,85,92",350,40,12,0.5,0.3,MEDIUM,8.798286199569702
970,970,"4,77,55",350,40,12,0.5,0.3,LOW,8.557444095611572
970,970,"12,77,53,63",350,30,9,0.5,0.3,HIGH,8.598371267318726
970,970,"2,12,13,77",350,30,9,0.5,0.3,LOW,8.600947856903076
925,939,"35,44,13",350,30,9,0.5,0.3,MEDIUM,8.889724254608154
970,970,"75,21,53",350,20,6,0.5,0.3,HIGH,8.647684097290039
970,970,"99,92",350,20,6,0.5,0.3,MEDIUM,8.620755672454834
970,970,"2,12,77,53,22",350,20,6,0.5,0.3,LOW,8.65366792678833
925,939,"75,82,90,28",340,150,45,0.5,0.3,HIGH,7.640275239944458
970,970,"1,2,22",340,150,45,0.5,0.3,MEDIUM,7.370995044708252
970,970,"2,60,22",350,10,3,0.5,0.3,HIGH,8.759318113327026
925,939,"2,12,77,90,92",340,150,45,0.5,0.3,LOW,7.608535051345825
970,970,"34,85",340,140,42,0.5,0.3,HIGH,7.616512775421143
887,943,"85,71,63",350,10,3,0.5,0.3,MEDIUM,8.988842725753784
970,970,"12,53,77",350,10,3,0.5,0.3,LOW,9.110515117645264
970,970,"1,2",340,140,42,0.5,0.3,MEDIUM,7.351097345352173
970,970,"52,68,92",340,130,39,0.5,0.3,HIGH,6.9541614055633545
970,970,"1,13,77",340,140,42,0.5,0.3,LOW,7.169583797454834
970,970,"4,13,22",340,130,39,0.5,0.3,LOW,7.377914667129517
970,970,4,340,130,39,0.5,0.3,MEDIUM,7.530505895614624
925,939,"2,39,75,12,22",340,120,36,0.5,0.3,HIGH,7.352981328964233
970,970,"75,52,53,31",340,120,36,0.5,0.3,MEDIUM,6.976988315582275
970,970,"2,60",340,120,36,0.5,0.3,LOW,7.2552618980407715
970,970,"2,4,13",340,110,33,0.5,0.3,MEDIUM,7.19043493270874
970,970,"53,6",340,110,33,0.5,0.3,HIGH,7.803142309188843
970,970,"75,12,61",340,110,33,0.5,0.3,LOW,7.963649749755859
970,970,"2,75,13,63",340,100,30,0.5,0.3,MEDIUM,8.028475522994995
970,970,"1,63",340,100,30,0.5,0.3,HIGH,8.207996368408203
970,970,"2,21",340,100,30,0.5,0.3,LOW,8.229037523269653
970,970,"2,83",340,90,27,0.5,0.3,HIGH,8.518013954162598
970,970,"2,63,32",340,90,27,0.5,0.3,LOW,8.399070739746094
970,970,"2,60",340,90,27,0.5,0.3,MEDIUM,8.930994033813477
970,970,"28,4",340,80,24,0.5,0.3,HIGH,8.66571569442749
970,970,"46,45",340,80,24,0.5,0.3,MEDIUM,8.816450595855713
970,970,"45,13,53,92",340,80,24,0.5,0.3,LOW,8.972132444381714
970,970,"34,13",340,70,21,0.5,0.3,HIGH,8.903356313705444
970,970,"85,75,13",340,70,21,0.5,0.3,MEDIUM,8.083876132965088
970,970,"1,2,22",340,70,21,0.5,0.3,LOW,8.110719919204712
970,970,"75,12,61",340,60,18,0.5,0.3,HIGH,8.440836191177368
970,970,"68,12",340,60,18,0.5,0.3,MEDIUM,8.029642820358276
925,939,"35,13,61,53",340,60,18,0.5,0.3,LOW,8.15873908996582
970,970,"1,12",340,50,15,0.5,0.3,HIGH,8.272335767745972
970,970,"28,2,46",340,50,15,0.5,0.3,MEDIUM,8.276188850402832
970,970,"2,44,52",340,50,15,0.5,0.3,LOW,8.109834671020508
970,970,"34,75,22",340,40,12,0.5,0.3,HIGH,8.26646113395691
970,970,"85,79",340,40,12,0.5,0.3,MEDIUM,8.161742925643921
970,970,"1,77,13",340,40,12,0.5,0.3,LOW,8.259975910186768
925,939,"77,90,92,32",340,30,9,0.5,0.3,MEDIUM,8.093324661254883
970,970,"34,13",340,30,9,0.5,0.3,HIGH,8.514195919036865
970,970,"2,28,13",340,30,9,0.5,0.3,LOW,8.034481525421143
970,970,"92,52,63",340,20,6,0.5,0.3,HIGH,8.029518365859985
925,939,"39,53,22,60",340,20,6,0.5,0.3,MEDIUM,7.7242889404296875
887,943,"39,13,84,52,22,96",340,20,6,0.5,0.3,LOW,7.702347993850708
970,970,"68,52,22",330,150,45,0.5,0.3,HIGH,6.565348148345947
970,970,"11,12",340,10,3,0.5,0.3,HIGH,7.993528366088867
887,943,"39,75,22,90,63,96",340,10,3,0.5,0.3,MEDIUM,7.80303692817688
970,970,"75,61,55",340,10,3,0.5,0.3,LOW,7.990536212921143
925,939,"74,2,35",330,150,45,0.5,0.3,MEDIUM,6.3932812213897705
970,970,"2,92,4,53",330,150,45,0.5,0.3,LOW,6.418214321136475
925,939,"76,77,53",330,140,42,0.5,0.3,HIGH,6.531910181045532
970,970,"11,22",330,140,42,0.5,0.3,MEDIUM,6.567866325378418
970,970,"4,61",330,140,42,0.5,0.3,LOW,6.73946738243103
970,970,"74,82",330,130,39,0.5,0.3,HIGH,7.039750099182129
970,970,"19,13,53",330,130,39,0.5,0.3,MEDIUM,7.179377317428589
970,970,"1,2",330,130,39,0.5,0.3,LOW,7.4115519523620605
925,939,"82,35,31",330,120,36,0.5,0.3,HIGH,7.490341663360596
970,970,"2,77,34",330,120,36,0.5,0.3,MEDIUM,7.809542179107666
970,970,"2,13",330,120,36,0.5,0.3,LOW,8.467729330062866
970,970,"2,83",330,110,33,0.5,0.3,HIGH,8.889541387557983
970,970,"19,32",330,110,33,0.5,0.3,MEDIUM,8.80778193473816
925,939,"2,4,75,90",330,110,33,0.5,0.3,LOW,8.725005149841309
887,943,"35,39,46,53,22,58",330,100,30,0.5,0.3,HIGH,7.388706684112549
970,970,"82,92,61",330,100,30,0.5,0.3,MEDIUM,7.34286904335022
970,970,"2,46,13,22",330,100,30,0.5,0.3,LOW,7.887654542922974
970,970,"75,44,85",330,90,27,0.5,0.3,HIGH,7.447913408279419
970,970,"2,77,79",330,90,27,0.5,0.3,MEDIUM,7.626608848571777
970,970,"2,4,13",330,90,27,0.5,0.3,LOW,7.36324405670166
925,939,"1,2,75,84",330,80,24,0.5,0.3,HIGH,7.190704107284546
887,943,"65,4,92,96",330,80,24,0.5,0.3,MEDIUM,7.434972286224365
970,970,"2,77,85,32",330,80,24,0.5,0.3,LOW,7.349165439605713
970,970,"2,77,92,61",330,70,21,0.5,0.3,HIGH,7.493138551712036
970,970,"13,77,31",330,70,21,0.5,0.3,MEDIUM,8.096675872802734
970,970,"2,55",330,70,21,0.5,0.3,LOW,8.126333236694336
970,970,"52,22,32",330,60,18,0.5,0.3,HIGH,8.224710941314697
970,970,"82,52,85,22",330,60,18,0.5,0.3,MEDIUM,8.62473464012146
925,939,"90,2,34",330,60,18,0.5,0.3,LOW,9.214361429214478
970,970,"82,12,85",330,50,15,0.5,0.3,HIGH,9.191423892974854
970,970,"2,52,22,55",330,50,15,0.5,0.3,MEDIUM,8.78818392753601
970,970,"4,53,63",330,50,15,0.5,0.3,LOW,8.883794784545898
925,939,"75,82,85,90,92",330,40,12,0.5,0.3,HIGH,8.993721961975098
970,970,"2,13,82,22",330,40,12,0.5,0.3,MEDIUM,8.914255857467651
925,939,"99,77,90",330,40,12,0.5,0.3,LOW,8.788500308990479
925,939,"75,35,19,22",330,30,9,0.5,0.3,HIGH,7.407946586608887
925,939,"35,68,92,77",330,30,9,0.5,0.3,MEDIUM,7.368050813674927
970,970,"2,22,55",330,30,9,0.5,0.3,LOW,7.410598993301392
887,943,"75,77,53,59,96,32",330,20,6,0.5,0.3,HIGH,7.500256061553955
925,939,"90,2,3",330,20,6,0.5,0.3,MEDIUM,7.195938587188721
970,970,"53,22,79",330,20,6,0.5,0.3,LOW,7.4013895988464355
970,970,"52,46,48",330,10,3,0.5,0.3,HIGH,7.4372944831848145
925,939,"90,94",320,150,45,0.5,0.3,HIGH,6.534522533416748
925,939,"44,84,92,77",330,10,3,0.5,0.3,LOW,7.661508083343506
970,970,"11,22",330,10,3,0.5,0.3,MEDIUM,8.003598928451538
925,939,"77,46,82,22,90",320,150,45,0.5,0.3,MEDIUM,6.486652374267578
970,970,"31,32",320,150,45,0.5,0.3,LOW,6.7758800983428955
970,970,"73,13",320,140,42,0.5,0.3,HIGH,7.042166233062744
970,970,"2,22,13,46",320,140,42,0.5,0.3,MEDIUM,6.902538061141968
970,970,"2,11,22",320,130,39,0.5,0.3,MEDIUM,6.247289180755615
970,970,"82,3",320,140,42,0.5,0.3,LOW,6.5165650844573975
925,939,"90,92,79",320,130,39,0.5,0.3,HIGH,6.6721556186676025
925,939,"68,77,52,84",320,130,39,0.5,0.3,LOW,6.37594747543335
970,970,"3,52,77",320,120,36,0.5,0.3,HIGH,6.186452388763428
970,970,"2,45,13,53",320,120,36,0.5,0.3,MEDIUM,6.3460283279418945
970,970,"4,82,92",320,120,36,0.5,0.3,LOW,6.416838884353638
970,970,"13,77,52,53,85",320,110,33,0.5,0.3,HIGH,6.391905307769775
925,939,"95,39",320,110,33,0.5,0.3,LOW,6.208395481109619
925,939,"2,35,75,48,53",320,110,33,0.5,0.3,MEDIUM,6.945424318313599
970,970,"68,32",320,100,30,0.5,0.3,HIGH,6.728006362915039
970,970,"2,28,85",320,100,30,0.5,0.3,MEDIUM,6.667169094085693
970,970,"76,13,77",320,100,30,0.5,0.3,LOW,7.047152757644653
970,970,"68,12",320,90,27,0.5,0.3,HIGH,7.3902223110198975
887,943,"65,35,84,22,61",320,90,27,0.5,0.3,MEDIUM,7.285515069961548
925,939,"84,13,77,48",320,90,27,0.5,0.3,LOW,7.271552801132202
970,970,"75,77,46,61",320,80,24,0.5,0.3,HIGH,7.527867794036865
925,939,"35,94",320,80,24,0.5,0.3,MEDIUM,7.227669715881348
970,970,"2,28,46",320,80,24,0.5,0.3,LOW,7.098016738891602
925,939,"39,75,82,85",320,70,21,0.5,0.3,HIGH,7.203734874725342
970,970,"85,46,55",320,70,21,0.5,0.3,MEDIUM,7.066102027893066
970,970,"4,13,22",320,70,21,0.5,0.3,LOW,6.858657360076904
970,970,"12,75",320,60,18,0.5,0.3,HIGH,7.003270387649536
970,970,"28,48",320,60,18,0.5,0.3,MEDIUM,7.5099146366119385
970,970,"60,12",320,60,18,0.5,0.3,LOW,7.236647129058838
970,970,"1,12",320,50,15,0.5,0.3,HIGH,7.2496113777160645
970,970,"74,75,92",320,50,15,0.5,0.3,MEDIUM,7.177802562713623
970,970,"2,54",320,50,15,0.5,0.3,LOW,7.248613357543945
970,970,"52,13,22",320,40,12,0.5,0.3,HIGH,7.121952056884766
970,970,"2,4,13",320,40,12,0.5,0.3,MEDIUM,7.053136587142944
970,970,"2,53,34",320,40,12,0.5,0.3,LOW,7.458051681518555
970,970,"2,45,32",320,30,9,0.5,0.3,HIGH,6.959386825561523
970,970,"12,31",320,30,9,0.5,0.3,MEDIUM,6.730998992919922
970,970,"52,22,92,63",320,30,9,0.5,0.3,LOW,7.071088075637817
970,970,"4,61",320,20,6,0.5,0.3,HIGH,7.21769642829895
970,970,"31,32",320,20,6,0.5,0.3,MEDIUM,7.255595445632935
970,970,"75,77,22,92,32",320,20,6,0.5,0.3,LOW,7.463040351867676
970,970,"92,76,53",320,10,3,0.5,0.3,MEDIUM,7.439104318618774
970,970,"1,2,22",320,10,3,0.5,0.3,HIGH,7.8829169273376465
970,970,"28,13,22",320,10,3,0.5,0.3,LOW,7.979658126831055
970,970,"82,92,4",310,150,45,0.5,0.3,HIGH,6.662183046340942
970,970,"2,77,53,22,55",310,150,45,0.5,0.3,MEDIUM,6.788844108581543
970,970,"1,77,85",310,150,45,0.5,0.3,LOW,6.511585235595703
970,970,"13,77,55,92",310,140,42,0.5,0.3,HIGH,6.674150705337524
925,939,"2,84,13,77",310,140,42,0.5,0.3,MEDIUM,6.26053261756897
970,970,"91,77",310,140,42,0.5,0.3,LOW,6.250962972640991
970,970,"2,77,85,55",310,130,39,0.5,0.3,HIGH,6.450618267059326
970,970,"1,45",310,130,39,0.5,0.3,MEDIUM,6.425685167312622
970,970,"75,12,53",310,130,39,0.5,0.3,LOW,6.235194683074951
970,970,"1,2,22",310,120,36,0.5,0.3,HIGH,6.237189292907715
970,970,"75,92,61",310,120,36,0.5,0.3,MEDIUM,5.922032356262207
925,939,"1,2,84,53",310,120,36,0.5,0.3,LOW,5.904802083969116
970,970,"1,45",310,110,33,0.5,0.3,HIGH,5.953267812728882
970,970,"19,32",310,110,33,0.5,0.3,MEDIUM,5.497297525405884
925,939,"75,44,77,84,53",310,110,33,0.5,0.3,LOW,5.747629165649414
970,970,"99,2",310,100,30,0.5,0.3,HIGH,5.809462785720825
970,970,"28,92,46",310,100,30,0.5,0.3,LOW,5.865313529968262
970,970,"19,52,22",310,100,30,0.5,0.3,MEDIUM,6.156534910202026
970,970,"73,75,92",310,90,27,0.5,0.3,HIGH,5.908200025558472
970,970,"2,76",310,90,27,0.5,0.3,MEDIUM,5.934129238128662
970,970,"12,82,53,92",310,90,27,0.5,0.3,LOW,5.905209541320801
925,939,"77,46,84,53,22,92",310,80,24,0.5,0.3,HIGH,6.620293140411377
970,970,"77,55",310,80,24,0.5,0.3,MEDIUM,6.1216278076171875
925,939,"35,52,79",310,70,21,0.5,0.3,HIGH,6.15154767036438
970,970,"11,13,75",310,80,24,0.5,0.3,LOW,6.205403566360474
970,970,"83,52",310,70,21,0.5,0.3,MEDIUM,6.532528877258301
970,970,"4,12,53",310,70,21,0.5,0.3,LOW,6.502608776092529
925,939,"4,77,84,53,92",310,60,18,0.5,0.3,HIGH,6.444763422012329
970,970,"2,21",310,60,18,0.5,0.3,MEDIUM,6.441771507263184
970,970,"75,77,52,22,55",310,60,18,0.5,0.3,LOW,6.701077938079834
970,970,"68,12",310,50,15,0.5,0.3,MEDIUM,6.751941919326782
970,970,"11,12",310,50,15,0.5,0.3,HIGH,6.922486066818237
970,970,"4,61",310,50,15,0.5,0.3,LOW,7.162843227386475
970,970,"11,32",310,40,12,0.5,0.3,HIGH,7.132923126220703
925,939,"34,84,22",310,40,12,0.5,0.3,MEDIUM,7.172816514968872
925,939,"34,92,39",310,40,12,0.5,0.3,LOW,7.247616529464722
970,970,"75,77,55,63",310,30,9,0.5,0.3,HIGH,7.278534173965454
970,970,"12,85,46",310,30,9,0.5,0.3,LOW,6.870626449584961
970,970,"77,13,82,53,52",310,30,9,0.5,0.3,MEDIUM,7.007260799407959
970,970,"11,12",310,20,6,0.5,0.3,HIGH,6.480666637420654
970,970,"12,63",310,20,6,0.5,0.3,MEDIUM,6.679137945175171
970,970,"44,32",310,20,6,0.5,0.3,LOW,6.708060026168823
925,939,"39,63",310,10,3,0.5,0.3,HIGH,6.8646416664123535
925,939,"2,85,22,90,92",310,10,3,0.5,0.3,MEDIUM,6.997286081314087
970,970,"2,99",300,150,45,0.5,0.3,HIGH,5.592042922973633
970,970,"2,31",310,10,3,0.5,0.3,LOW,6.79482626914978
925,939,"12,35,4",300,150,45,0.5,0.3,MEDIUM,5.697761535644531
