PROFIT,WEIGHT,ITEMS,NB_GENERATION,NB_POPULATION,NB_BEST,PROBA_CROSSOVER,PROBA_MUTATION,TYPE_INIT_POP,TIME_EXECUTION
970,970,961,260,135,800,1.0,1.0,LOW,0.2543189525604248
970,970,935,260,135,800,1.0,0.9,LOW,0.25332188606262207
2238,2266,"154,642,925,79",260,135,800,1.0,1.0,MEDIUM,0.31116676330566406
4514,4528,"111,304,753,404,726,409,892,702",260,135,800,1.0,0.8,HIGH,0.2792525291442871
2238,2266,"837,231,428,601,125,350",260,135,800,1.0,0.9,MEDIUM,0.31116700172424316
4386,4470,"194,642,516,804,999,298,247",260,135,800,1.0,1.0,HIGH,0.32413220405578613
4400,4540,"228,231,73,554,622,975,632,155,988",260,135,800,1.0,0.9,HIGH,0.32812070846557617
970,970,200,260,135,800,1.0,0.8,LOW,0.22539639472961426
4476,4532,"249,770,73,461,147,24,153",260,135,800,1.0,0.6,HIGH,0.23337602615356445
970,970,110,260,135,800,1.0,0.7,LOW,0.23836302757263184
2238,2266,"993,930,291,845,350",260,135,800,1.0,0.8,MEDIUM,0.3031885623931885
2231,2231,"273,203,966,387",260,135,800,1.0,0.6,MEDIUM,0.23836278915405273
4424,4466,"840,925,234,48,50,982,759,631,571,989",260,135,800,1.0,0.7,HIGH,0.28623414039611816
2238,2266,"171,285,875,992",260,135,800,1.0,0.7,MEDIUM,0.28822922706604004
970,970,178,260,135,800,1.0,0.6,LOW,0.23636841773986816
2238,2266,"488,394,109,854,728",260,135,800,1.0,0.5,MEDIUM,0.23038387298583984
970,970,842,260,135,800,1.0,0.5,LOW,0.2653465270996094
970,970,158,260,135,800,1.0,0.4,LOW,0.269406795501709
4431,4501,"833,385,12,622,279,505,26",260,135,800,1.0,0.5,HIGH,0.3172786235809326
2238,2266,"387,432,149,347,894",260,135,800,1.0,0.4,MEDIUM,0.29641175270080566
4386,4470,"866,903,935,61,17,597,989,992",260,135,800,1.0,0.4,HIGH,0.3253347873687744
970,970,238,260,135,800,1.0,0.3,LOW,0.21363401412963867
4355,4509,"452,454,135,939,907,429,851,22,24,893,672",260,135,800,1.0,0.3,HIGH,0.31740427017211914
2231,2231,"753,362,728",260,135,800,1.0,0.3,MEDIUM,0.3253896236419678
970,970,816,260,135,800,1.0,0.2,LOW,0.22644996643066406
4514,4528,"930,867,740,325,198,622,821",260,135,800,1.0,0.2,HIGH,0.29534220695495605
2238,2266,"634,251,733,423",260,135,800,1.0,0.2,MEDIUM,0.3073103427886963
4400,4540,"849,789,341,309,25,27,925,736",260,135,800,1.0,0.1,HIGH,0.2942686080932617
970,970,874,260,135,800,1.0,0.1,LOW,0.17553091049194336
2238,2266,"321,529,286,726",260,135,800,1.0,0.1,MEDIUM,0.2682821750640869
970,970,640,260,135,800,0.9,1.0,LOW,0.22140860557556152
2231,2231,"737,893,781,592",260,135,800,0.9,1.0,MEDIUM,0.27526330947875977
4431,4501,"838,42,202,239,593,791,604,446",260,135,800,0.9,1.0,HIGH,0.30518317222595215
4400,4540,"673,228,740,903,139,45,569,314,123",260,135,800,0.9,0.9,HIGH,0.2483358383178711
970,970,713,260,135,800,0.9,0.9,LOW,0.22041034698486328
2231,2231,"129,142,432,435,920",260,135,800,0.9,0.9,MEDIUM,0.26429295539855957
4393,4505,"354,707,835,581,941,178,61,510",260,135,800,0.9,0.8,HIGH,0.2892262935638428
970,970,381,260,135,800,0.9,0.8,LOW,0.2234025001525879
970,970,577,260,135,800,0.9,0.7,LOW,0.22240471839904785
2231,2231,"521,801,550",260,135,800,0.9,0.8,MEDIUM,0.2932162284851074
2238,2266,"481,487,647,938,687,50,542",260,135,800,0.9,0.7,MEDIUM,0.2543199062347412
4469,4497,"450,869,623,112,625,530,570,571",260,135,800,0.9,0.6,HIGH,0.2483353614807129
4476,4532,"578,964,999,782,111,692,599,990",260,135,800,0.9,0.7,HIGH,0.2952108383178711
970,970,867,260,135,800,0.9,0.6,LOW,0.22041058540344238
2231,2231,"633,749,486,895",260,135,800,0.9,0.6,MEDIUM,0.23936033248901367
970,970,158,260,135,800,0.9,0.5,LOW,0.22040987014770508
4400,4540,"545,673,546,906,751,857,635,509,224",260,135,800,0.9,0.5,HIGH,0.26329588890075684
2231,2231,"554,203,814",260,135,800,0.9,0.4,MEDIUM,0.2513279914855957
2148,2204,"390,938,495,787,154,507",260,135,800,0.9,0.5,MEDIUM,0.2872312068939209
4431,4501,"34,999,585,75,13,336,84,380,861",260,135,800,0.9,0.4,HIGH,0.28324270248413086
970,970,737,260,135,800,0.9,0.4,LOW,0.2263939380645752
4469,4497,"995,262,616,366,687,339,822,758,408,377,220",260,135,800,0.9,0.3,HIGH,0.27725791931152344
970,970,736,260,135,800,0.9,0.3,LOW,0.1934821605682373
2238,2266,"385,687,882,669,286",260,135,800,0.9,0.3,MEDIUM,0.2702770233154297
970,970,585,260,135,800,0.9,0.2,LOW,0.21342873573303223
2200,2270,"457,162,819,468",260,135,800,0.9,0.2,MEDIUM,0.28523707389831543
4400,4540,"354,486,587,173,270,853,893,286",260,135,800,0.9,0.2,HIGH,0.2932155132293701
4476,4532,"1000,170,395,527,815,436,406,922,447",260,135,800,0.9,0.1,HIGH,0.2373652458190918
970,970,735,260,135,800,0.9,0.1,LOW,0.21043753623962402
