PROFIT,WEIGHT,ITEMS,NB_GENERATION,NB_POPULATION,NB_BEST,PROBA_CROSSOVER,PROBA_MUTATION,TYPE_INIT_POP,TIME_EXECUTION
970,970,672,345,150,900,0.5,0.3,LOW,0.33115458488464355
970,970,867,345,150,950,0.5,0.3,LOW,0.3891911506652832
2193,2235,"259,356,247,24,378",345,150,900,0.5,0.3,MEDIUM,0.4129657745361328
4469,4497,"97,68,326,715,44,14,307,405,255",345,150,900,0.5,0.3,HIGH,0.47296690940856934
2238,2266,"753,507,612,158",345,150,950,0.5,0.3,MEDIUM,0.49297142028808594
4476,4532,"938,298,815,338,339,19,53,632,895",345,150,950,0.5,0.3,HIGH,0.49596381187438965
4386,4470,"865,617,201,687,213,694,790,702,415",345,150,850,0.5,0.3,HIGH,0.5058157444000244
970,970,849,345,150,850,0.5,0.3,LOW,0.3233497142791748
2231,2231,"954,3,735",345,150,850,0.5,0.3,MEDIUM,0.41909337043762207
4365,4365,"554,400,692,726,854,571,574",345,150,750,0.5,0.3,HIGH,0.37667298316955566
4469,4497,"154,712,361,105,117,856,858,702,448",345,150,800,0.5,0.3,HIGH,0.4405021667480469
970,970,516,345,150,800,0.5,0.3,LOW,0.3806631565093994
2200,2270,"961,284,200",345,150,800,0.5,0.3,MEDIUM,0.4196009635925293
2231,2231,"825,419,97",345,150,750,0.5,0.3,MEDIUM,0.3966388702392578
970,970,298,345,150,750,0.5,0.3,LOW,0.3547542095184326
4324,4548,"68,197,552,985,859,381,894,736",345,150,700,0.5,0.3,HIGH,0.43924641609191895
970,970,516,345,150,700,0.5,0.3,LOW,0.3699514865875244
2238,2266,"322,198,301,723,309",345,150,700,0.5,0.3,MEDIUM,0.3999166488647461
970,970,457,345,150,650,0.5,0.3,LOW,0.34489893913269043
4431,4501,"425,301,401,593,341,119,120,346,28,61,255",345,150,650,0.5,0.3,HIGH,0.4109158515930176
2231,2231,"993,450,24",345,150,650,0.5,0.3,MEDIUM,0.43285703659057617
4469,4497,"65,238,174,719,726,825",345,150,600,0.5,0.3,HIGH,0.3954770565032959
970,970,960,345,150,600,0.5,0.3,LOW,0.3558692932128906
970,970,849,345,150,550,0.5,0.3,LOW,0.31989359855651855
2200,2270,"305,34,548,144",345,150,600,0.5,0.3,MEDIUM,0.4278590679168701
4476,4532,"510,322,846,944,946,595,405,538,123,542,639",345,150,550,0.5,0.3,HIGH,0.40293145179748535
2200,2270,"102,492,596,310,599",345,150,550,0.5,0.3,MEDIUM,0.4427926540374756
4514,4528,"582,454,519,585,557,142,112,733,991",345,150,500,0.5,0.3,HIGH,0.48167848587036133
2238,2266,"612,324,44,936",345,150,500,0.5,0.3,MEDIUM,0.3772459030151367
970,970,713,345,150,500,0.5,0.3,LOW,0.3398447036743164
970,970,149,345,150,450,0.5,0.3,LOW,0.29480719566345215
4514,4528,"772,392,656,146,54,24,702",345,150,450,0.5,0.3,HIGH,0.41567325592041016
2231,2231,"537,467,398,424",345,150,450,0.5,0.3,MEDIUM,0.4709773063659668
4476,4532,"581,136,76,432,752,979,949,247,24",345,150,400,0.5,0.3,HIGH,0.4520258903503418
970,970,362,345,150,400,0.5,0.3,LOW,0.33231616020202637
2238,2266,"545,131,803,52,830",345,150,400,0.5,0.3,MEDIUM,0.45346999168395996
970,970,437,345,150,350,0.5,0.3,LOW,0.3103318214416504
4514,4528,"710,743,231,329,653,348,605,63",345,150,350,0.5,0.3,HIGH,0.4172327518463135
2238,2266,"418,770,809,435,91",345,150,350,0.5,0.3,MEDIUM,0.39132094383239746
4248,4556,"678,838,607,557,624,656,655,435,949,596,312,601,91,831",345,150,300,0.5,0.3,MEDIUM,6.08345890045166
4203,4525,"388,137,656,789,151,536,167,939,50,312,185,827,965,591,84,351,223,484,105,491,762,378",345,150,300,0.5,0.3,LOW,6.210307598114014
4127,4533,"137,267,792,923,286,287,567,185,708,582,454,721,84,223,96,998,105,873,631,378,256",345,150,300,0.5,0.3,HIGH,6.379906892776489
4400,4540,"161,997,744,461,494,82,405,727,24,87,892",345,140,950,0.5,0.3,HIGH,0.37100791931152344
2231,2231,"675,763,684,448",345,140,950,0.5,0.3,MEDIUM,0.39672327041625977
970,970,110,345,140,950,0.5,0.3,LOW,0.2952101230621338
4514,4528,"710,265,971,173,883,120,475,352",345,140,900,0.5,0.3,HIGH,0.3949437141418457
2231,2231,"481,13,500,822,570,733",345,140,900,0.5,0.3,MEDIUM,0.4108407497406006
970,970,890,345,140,900,0.5,0.3,LOW,0.3421342372894287
4431,4501,"4,652,495,305,625,849,597,441,731",345,140,850,0.5,0.3,HIGH,0.42431044578552246
2238,2266,"697,270,847,799",345,140,850,0.5,0.3,MEDIUM,0.4348740577697754
970,970,516,345,140,850,0.5,0.3,LOW,0.3263552188873291
4431,4501,"577,102,715,19,888,571,830",345,140,800,0.5,0.3,HIGH,0.42392396926879883
2231,2231,"920,173,672",345,140,800,0.5,0.3,MEDIUM,0.3322865962982178
970,970,279,345,140,800,0.5,0.3,LOW,0.26927971839904785
4203,4525,"777,527,809,811,942,305,831,837,453,967,454,850,856,89,992,748,878,894",345,150,250,0.5,0.3,HIGH,10.861314058303833
4248,4556,"519,137,393,397,656,789,919,792,409,676,934,566,311,454,330,341,721,850,90,604,610,741,876,755,630,631,762,761,378",345,150,250,0.5,0.3,LOW,10.867144584655762
4438,4536,"740,714,813,24,119,504,378,960",345,140,750,0.5,0.3,HIGH,0.3850834369659424
4362,4544,"527,789,919,345,538,409,287,673,35,39,231,942,690,948,373,375,764,126",345,150,250,0.5,0.3,MEDIUM,11.089365720748901
2231,2231,"369,218,614,719",345,140,750,0.5,0.3,MEDIUM,0.3598752021789551
970,970,874,345,140,750,0.5,0.3,LOW,0.318936824798584
4355,4509,"609,201,778,491,909,846,657,920,183,887",345,140,700,0.5,0.3,HIGH,0.3526606559753418
970,970,174,345,140,700,0.5,0.3,LOW,0.33695125579833984
2238,2266,"672,140,294,992",345,140,700,0.5,0.3,MEDIUM,0.4199080467224121
4424,4466,"674,998,999,237,687,448",345,140,650,0.5,0.3,HIGH,0.4209253787994385
2231,2231,"699,74,267,838",345,140,650,0.5,0.3,MEDIUM,0.394183874130249
970,970,516,345,140,650,0.5,0.3,LOW,0.3509209156036377
4469,4497,"1,262,845,560,304,855,317,446,32",345,140,600,0.5,0.3,HIGH,0.43662595748901367
2238,2266,"275,572,45,663",345,140,600,0.5,0.3,MEDIUM,0.3931238651275635
970,970,736,345,140,600,0.5,0.3,LOW,0.3302285671234131
4476,4532,"673,848,722,927,446,319",345,140,550,0.5,0.3,HIGH,0.4084305763244629
2231,2231,"401,1,833,512",345,140,550,0.5,0.3,MEDIUM,0.3739433288574219
970,970,279,345,140,550,0.5,0.3,LOW,0.3176889419555664
4469,4497,"391,585,393,524,174,534,286",345,140,500,0.5,0.3,HIGH,0.43631911277770996
2162,2274,"690,140,917,486",345,140,500,0.5,0.3,MEDIUM,0.39548206329345703
970,970,995,345,140,500,0.5,0.3,LOW,0.3342270851135254
4431,4501,"645,966,390,361,978,795,768",345,140,450,0.5,0.3,HIGH,0.43887925148010254
2231,2231,"12,484,437,766",345,140,450,0.5,0.3,MEDIUM,0.3879528045654297
970,970,577,345,140,450,0.5,0.3,LOW,0.36602067947387695
4362,4544,"581,710,797,454,422,654,144,503,285",345,140,400,0.5,0.3,HIGH,0.46276211738586426
2238,2266,"593,188,516,878",345,140,400,0.5,0.3,MEDIUM,0.4707462787628174
