profit,poids,Items selectionne,Nombre generation,Nombre population,Nombre meilleur solution selectionne,Probabilite crossover,Probabilite mutation,Type population initiale, Temps execution
1008,997,"43,15,85,55,57,30,96,32",350,150,45,0.5,0.3,HIGH,6.818716764450073
1005,997,"71,82,85,55,89,59",350,150,45,0.5,0.3,MEDIUM,6.942411422729492
1008,995,"1,69,71,74,15,52,85,22,57,32",350,150,45,0.5,0.3,LOW,6.94440770149231
1005,991,"69,71,74,43,45,15,82,52,85,32",350,140,42,0.5,0.3,HIGH,6.98330283164978
1008,992,"1,45,15,52,22,55,57",350,140,42,0.5,0.3,MEDIUM,7.041003465652466
1005,996,"6,45,15,52,55,89",350,140,42,0.5,0.3,LOW,7.068127632141113
1008,997,"68,74,15,84,85,52,55,22",350,130,39,0.5,0.3,HIGH,7.1509668827056885
1008,997,"100,43,15,52,85,84,30,32",350,130,39,0.5,0.3,MEDIUM,6.5138843059539795
1008,997,"1,71,43,45,46,15,52,85,57,32",350,130,39,0.5,0.3,LOW,6.682364463806152
1005,994,"1,6,74,15,85,55,57,30,32",350,120,36,0.5,0.3,MEDIUM,7.0343873500823975
1011,997,"1,74,15,83,84,85,43,52,55",350,120,36,0.5,0.3,HIGH,7.137154817581177
1005,993,"1,69,43,45,79,15,83,84",350,120,36,0.5,0.3,LOW,7.084295988082886
1005,995,"6,43,45,15,52,55,57",350,110,33,0.5,0.3,MEDIUM,6.97224760055542
1008,997,"69,74,77,15,85,57,30,32",350,110,33,0.5,0.3,HIGH,7.065087080001831
1005,995,"1,12,15,22,59,30",350,110,33,0.5,0.3,LOW,6.790929317474365
1008,996,"71,74,43,79,15,52,57",350,100,30,0.5,0.3,HIGH,7.268604755401611
1011,996,"1,45,79,83,52,85",350,90,27,0.5,0.3,MEDIUM,7.1419358253479
1005,994,"100,74,15,82,83,85,22,57,30",350,100,30,0.5,0.3,LOW,7.374315500259399
1008,997,"69,71,74,45,82,84,85,30",350,100,30,0.5,0.3,MEDIUM,7.542906999588013
1002,993,"71,74,45,15,85,25,32",350,90,27,0.5,0.3,HIGH,7.428171873092651
1005,997,"1,6,43,83,59,30",350,90,27,0.5,0.3,LOW,7.45805287361145
1011,997,"74,43,45,15,79,84,85,62",350,80,24,0.5,0.3,HIGH,8.270668983459473
1005,997,"66,43,45,15,79,22",350,80,24,0.5,0.3,MEDIUM,8.7913179397583
1005,997,"6,74,43,15,84,85,57,96,32",350,80,24,0.5,0.3,LOW,8.46818232536316
