PROFIT, WEIGHT, ITEMS, NB_GENERATION, NB_POPULATION, NB_BEST, PROBA_CROSSOVER, PROBA_MUTATION, TYPE_INIT_POP, TIME_EXECUTION
993,993,186,345,150,950,0.5,0.3,LOW,0.24751687049865723
2409,2407,"385,745,919,481",345,150,950,0.5,0.3,MEDIUM,0.2544982433319092
993,992,4,345,150,900,0.5,0.3,LOW,0.25937867164611816
2415,2407,"548,74,781,688,150,151,379,60",345,150,900,0.5,0.3,MEDIUM,0.2763848304748535
4824,4813,"133,363,816,17,979,596,503,24,571,925",345,150,950,0.5,0.3,HIGH,0.2984135150909424
4824,4812,"195,868,219,172,304,20,245,444,855,507,924,317",345,150,850,0.5,0.3,HIGH,0.3132362365722656
4827,4813,"66,99,486,262,618,781,177,692,151,505,188",345,150,900,0.5,0.3,HIGH,0.33930468559265137
999,997,565,345,150,850,0.5,0.3,LOW,0.21194076538085938
2412,2407,"241,972,733,207",345,150,850,0.5,0.3,MEDIUM,0.27782440185546875
999,998,733,345,150,800,0.5,0.3,LOW,0.2349073886871338
2409,2402,"345,455,981,633,831",345,150,800,0.5,0.3,MEDIUM,0.26690030097961426
4818,4809,"262,968,842,203,268,238,401,530,983",345,150,800,0.5,0.3,HIGH,0.29485201835632324
4830,4814,"807,103,873,234,814,240,498,475,756,599,600,443",345,150,750,0.5,0.3,HIGH,0.2848780155181885
2412,2406,"97,803,203,399,766",345,150,750,0.5,0.3,MEDIUM,0.31399083137512207
996,994,19,345,150,750,0.5,0.3,LOW,0.23869967460632324
978,977,409,345,150,700,0.5,0.3,LOW,0.20768380165100098
2409,2405,"677,299,108,718,179,383",345,150,700,0.5,0.3,MEDIUM,0.2577059268951416
4824,4815,"131,36,816,727,792,375,960",345,150,700,0.5,0.3,HIGH,0.2886483669281006
4818,4810,"873,203,274,949,310,343,374,926",345,150,650,0.5,0.3,HIGH,0.2835574150085449
999,998,733,345,150,650,0.5,0.3,LOW,0.20757126808166504
2415,2404,"644,847,496,145,532,889",345,150,650,0.5,0.3,MEDIUM,0.31349992752075195
999,998,733,345,150,600,0.5,0.3,LOW,0.2064969539642334
4827,4811,"840,968,682,394,909,271,465,851,660,90",345,150,600,0.5,0.3,HIGH,0.31835174560546875
981,979,458,345,150,550,0.5,0.3,LOW,0.20656991004943848
2415,2407,"335,337,721,115,725,920,857,862",345,150,600,0.5,0.3,MEDIUM,0.313396692276001
2406,2403,"41,802,394,616",345,150,550,0.5,0.3,MEDIUM,0.22955775260925293
4824,4806,"353,676,197,6,423,170,561,501,855,505,58,187,956,121,185,864",345,150,550,0.5,0.3,HIGH,0.32134032249450684
993,992,4,345,150,500,0.5,0.3,LOW,0.22945380210876465
4821,4809,"386,165,550,744,779,812,589,782,77,338,501",345,150,500,0.5,0.3,HIGH,0.322314977645874
2412,2405,"526,655,247,699,508,480",345,150,500,0.5,0.3,MEDIUM,0.2644693851470947
4824,4814,"610,934,363,108,13,509,128",345,150,450,0.5,0.3,HIGH,0.21249914169311523
999,998,733,345,150,450,0.5,0.3,LOW,0.23140954971313477
2409,2405,"741,871,848,849,562,926",345,150,450,0.5,0.3,MEDIUM,0.31223320960998535
4827,4813,"130,612,746,251,268,717,270,406,219,192",345,150,400,0.5,0.3,HIGH,0.27426648139953613
981,981,615,345,150,350,0.5,0.3,LOW,0.17353534698486328
999,997,565,345,150,400,0.5,0.3,LOW,0.2543199062347412
2409,2405,"234,972,596,890,957",345,150,400,0.5,0.3,MEDIUM,0.26628828048706055
4827,4815,"548,871,650,589,976,593,469,381,733,767",345,150,350,0.5,0.3,HIGH,0.2672858238220215
2409,2403,"270,880,208,467,857,605",345,150,350,0.5,0.3,MEDIUM,0.2792541980743408
4872,4811,"781,655,918,292,677,808,939,684,685,944,690,950,62,706,580,581,840,848,720,82,465,732,474,734,736,480,361,364,238,881,370,501,379,764",345,150,300,0.5,0.3,LOW,4.490978717803955
4908,4814,"1,136,269,784,154,284,288,800,162,676,293,677,553,809,556,45,812,685,304,817,690,693,442,461,594,212,726,732,480,353,866,867,361,370,242,244,253,502,637",345,150,300,0.5,0.3,HIGH,4.69254207611084
4890,4796,"133,137,269,15,655,400,154,284,417,292,549,676,425,299,684,45,685,431,693,312,442,188,448,193,330,212,85,480,102,361,106,113,244,631,248,634,379,384",345,150,300,0.5,0.3,MEDIUM,4.919934511184692
4830,4815,"289,642,549,294,390,202,778,812,831,632,828,671",345,140,950,0.5,0.3,HIGH,0.37923312187194824
2412,2403,"808,361,874,138,145,244,537,544",345,140,950,0.5,0.3,MEDIUM,0.2912623882293701


