profit,poids,Items selectionnes,Nombre generation,Nombre population,Nombre best,Probabilite crossover,Probabilite mutation,Type population initiale,Temps d'execution
987,987,8418,350,150,9500,0.5,0.3,LOW,0.2622997760772705
1002,1000,7750,350,150,9000,0.5,0.3,LOW,0.25232458114624023
49395,49292,"7681,1026,7689,4623,5137,8214,3120,4148,1077,6198,4169,7758,4701,1117,4709,3176,3180,3696,1155,1675,7821,1168,3216,2717,2719,8865,7335,1191,3754,3245,2736,178,4274,710,2763,9421,9945,7901,3812,7921,5874,5373,3328,6405,7944,7435,7436,4363,4877,7439,5393,1814,7447,1819,2332,6430,5926,6449,6980,3910,8524,9044,3926,7002,1883,7007,1382,366,7536,3965,4991,9607,1932,6038,9624,408,9626,4002,4004,8101,6565,1444,5032,7593,2472,9643,4023,7611,7113,3529,1515,9196,494,9208,5113",350,150,9500,0.5,0.3,HIGH,0.3201408386230469
24705,24640,"5510,6409,5517,144,3602,5139,3863,7194,2846,8993,3108,8484,8612,9127,6193,1970,7604,2614,7735,2230,2489,6586,1982,3263,8384,9665,2373,5577,7370,1099,7629,7379,4054,4312,3417,8794,6491,8543,8544,1378,5225,1770,4333,8173,8560,498,6132,1396,1908,9083,8828,253,4223",350,150,9500,0.5,0.3,MEDIUM,0.3370974063873291
24690,24637,"642,770,2564,1794,1031,3209,7181,1934,5903,7184,6801,1681,3730,533,6165,8342,794,5374,541,673,933,5158,8229,4139,7851,5935,1968,9906,2612,8757,2356,3000,4409,4793,8635,2363,2111,970,6734,4814,595,8150,4697,3417,2269,222,6114,4454,3437,3313,243,5492,8052,4853,8440,1403,2302,8575,3328",350,150,9000,0.5,0.3,MEDIUM,0.31914615631103516
49401,49284,"4619,7692,3097,4641,1573,6695,5164,561,563,5175,3639,567,2106,3131,2108,7233,1093,8269,3666,4691,3668,5206,4183,1637,4205,5232,5233,626,1141,6264,639,7807,4234,5770,652,3722,6801,5265,5783,3248,6836,5309,5321,8406,5344,1248,8422,4327,4333,3310,6897,3836,4863,5376,4869,2309,9999,7442,2331,9501,8991,2847,9001,7477,6454,3896,7486,1860,1861,5445,9031,3400,6983,8011,8524,5974,2396,1373,1885,4962,6498,4454,1903,4986,3455,2946,4995,9604,4485,4486,9609,905,2960,8600,6561,1960,5546,8622,1472,9670,3527,1994,6605,974,3023,5588,6622,8162,4582,4085,3062",350,150,9000,0.5,0.3,HIGH,0.3700094223022461
49392,49292,"4609,7178,8721,5649,1044,3608,6177,7203,6183,6189,9261,3634,7228,6724,3665,2133,5210,7268,2662,7787,2668,5228,6268,2175,7296,6275,1155,9349,8839,8846,3221,4764,5791,160,4771,6826,9394,3771,1214,3777,3783,3274,3787,1740,3294,5342,9963,4337,6900,5877,8952,4860,8958,1283,9476,3848,3852,1293,281,3873,2341,6443,5426,9531,2876,3901,837,7496,6477,3926,3416,1885,8030,8035,4964,7529,9066,893,7037,9089,900,7560,5011,3480,3483,5532,6559,6070,444,7615,7619,5574,9680,3030,988,1502,6117,3563,2540,498,5622",350,150,8500,0.5,0.3,HIGH,0.36003684997558594
990,989,2023,350,150,8500,0.5,0.3,LOW,0.23237824440002441
999,999,6382,350,150,8000,0.5,0.3,LOW,0.23237824440002441
24693,24637,"1,5379,6917,2695,8974,7696,5522,4765,3359,2978,4002,8357,2989,4399,5821,2750,5955,3396,196,7112,6728,5450,970,3147,6221,331,2896,7892,9429,6358,345,3418,4059,9564,9440,4706,9318,6248,5743,4208,9841,367,756,2551,5880,6265,6907,3839",350,150,8500,0.5,0.3,MEDIUM,0.3400905132293701
24702,24640,"1794,3079,393,3982,3220,4629,7701,538,6043,3870,8094,9247,8739,4899,5411,3111,9855,6448,1328,2357,3640,2873,1859,6527,6468,1987,3524,5576,5066,5578,6784,6483,2131,1366,2007,1112,8025,9563,350,8800,6628,8936,3690,1647,8432,2544,9970,7023,4600,1023,7040",350,150,8000,0.5,0.3,MEDIUM,0.3281223773956299
49395,49296,"2568,6159,7696,8217,2586,4122,4636,6684,1566,6686,9766,1073,7229,1091,7240,6220,8276,5716,7264,8289,7282,7795,7797,630,6266,5257,8330,1674,4747,1677,3730,6292,2712,2204,7842,3234,1711,211,734,7391,9950,224,7402,9963,751,4347,2310,9491,9499,5918,7455,7457,299,5421,3378,313,5437,9545,2896,1874,3924,9558,3418,4444,4963,3429,874,4463,2418,7541,4479,5505,386,3970,9109,8092,8605,924,3490,7097,9149,5571,2499,5060,1991,3019,1996,2003,471,2525,5095,8169,2033,7674,6651,8701,8190",350,150,8000,0.5,0.3,HIGH,0.3510608673095703
49389,49284,"2053,1031,9231,8722,4627,537,1578,4151,2621,5694,580,8270,7760,5714,5204,6230,4089,1626,2652,9842,117,2173,5758,9855,7808,6788,8839,137,1162,1675,1678,1177,9372,671,1184,1187,3245,8386,196,198,5834,1744,7377,9434,732,735,7394,9448,9458,248,2299,1790,2324,5400,2336,3877,6440,812,9521,4919,1857,1860,4936,4937,5449,1869,8526,6484,5978,6493,6494,3430,7016,6507,877,2414,5497,4992,1925,3464,8590,912,1429,2968,5537,2466,3493,2996,7616,7110,972,8652,7641,7130,9706,6635,6129,9721,6143",350,150,7500,0.5,0.3,HIGH,0.32413268089294434
24696,24640,"8576,9098,3725,3599,7183,6550,7192,5657,8347,7457,6435,2084,9511,7087,6064,5296,9147,7488,6852,9797,966,5835,8652,5069,718,6608,9810,7507,9941,342,5467,9052,7260,890,352,992,6498,3684,6768,2417,1394,8179,1910,9590,6264,5497,1399,9595,5367,4343,2302,3447,640",350,150,7500,0.5,0.3,MEDIUM,0.2932157516479492
999,999,8230,350,150,7500,0.5,0.3,LOW,0.2543196678161621
49389,49277,"7682,3587,2061,7181,1046,5654,7706,3112,553,7223,8772,7247,7253,2137,95,2658,9323,8811,116,1653,1658,7295,2187,3730,3732,1685,5269,9374,6306,1699,9892,675,5808,8881,2744,1215,7360,2262,3807,6884,3307,5869,5358,9968,3827,1780,7934,5377,7943,6408,7439,4884,6935,7960,6942,2335,3362,7459,292,2341,2342,1839,307,1337,1853,1856,4930,8514,841,1867,342,9562,2395,1378,357,7019,1902,6514,6005,9079,3448,9093,5519,5008,1938,5024,2465,7074,423,3498,9132,429,8110,2484,1986,9666,8646,1997,5075,2009,3546,1504,3040,7138,1508,8178,4596,8696,4091",350,150,7000,0.5,0.3,HIGH,0.29421329498291016
999,998,7946,350,150,7000,0.5,0.3,LOW,0.2403571605682373
24693,24639,"7297,9478,1286,5515,908,4108,9998,9614,7953,5270,8856,7321,5406,4510,9375,4769,674,9002,4267,6701,3255,7992,6073,4281,7868,317,5822,5182,4286,2371,4167,6984,8268,3916,1614,6735,5585,9554,9170,9177,9690,5595,1757,4576,6755,8040,3689,9578,4970,1391,4471,8568,1019,3966,7167",350,150,7000,0.5,0.3,MEDIUM,0.3400897979736328
999,997,1166,350,150,6500,0.5,0.3,LOW,0.25033044815063477
49410,49295,"7681,8712,9230,3089,6166,5654,9245,4126,1567,3106,2085,4136,2102,9285,8775,9287,7257,9309,8290,619,6255,5238,1144,7289,7806,132,3207,3210,4237,149,7832,2200,6305,1698,7346,5308,188,3262,5820,192,4289,9413,5323,7385,9437,3808,7395,1769,1771,2801,1277,2821,9480,280,1311,4388,5413,5422,1850,1339,6460,3396,329,8014,2902,7525,8037,6508,6517,8567,6016,7048,6037,411,8621,9137,439,3512,1983,5569,451,7621,2502,5580,4557,8660,4063,8161,1507,1508,6119,8679,7145,3058,4086,6652",350,150,6500,0.5,0.3,HIGH,0.3281223773956299
24696,24647,"2689,8965,4102,277,8858,6812,927,3104,2977,3106,3748,3493,1318,6311,8746,2350,8752,9141,3128,9402,7614,9023,6590,2497,2628,1865,5194,4557,9422,975,2000,976,1490,2771,1617,2775,1881,5466,5084,6496,8931,7140,7524,2663,8297,3567,4336,6896,3698,4597,383",350,150,6500,0.5,0.3,MEDIUM,0.34407949447631836
1002,1000,6811,350,150,6000,0.5,0.3,LOW,0.22041058540344238
49431,49295,"6161,9752,1562,2587,4128,1075,7744,5185,1609,3154,9301,1121,2659,5227,8315,6267,8318,3202,5770,3211,6285,8335,6799,8340,5787,8353,673,9377,5802,6318,8367,7856,5303,7867,4797,4288,3779,8387,9419,9423,7894,4314,8924,2269,8413,6878,8933,3813,2796,2290,3318,5879,1272,4859,1276,7420,7940,4357,1289,9996,2331,9518,303,9522,9010,3892,2360,8509,829,4417,2882,1860,9545,2897,5461,9563,8540,1380,9060,7527,5481,877,4463,4975,6005,1404,6532,1418,8082,8597,1441,8620,5550,6590,3524,6599,7626,466,2517,7127,7642,1500,6627,7142,508,2556,5119,3584",350,150,6000,0.5,0.3,HIGH,0.3370983600616455
24708,24645,"7681,8322,3459,6789,5384,7434,5644,8205,9228,8206,144,8339,1945,8603,8477,4381,2594,5538,9639,4647,4906,4526,5425,3379,9524,6200,830,575,1986,5059,6724,5956,7368,1610,9931,8654,6610,9558,8922,2522,1884,2271,7264,4321,9441,7907,4325,6887,2666,6384,1012,6391,2551",350,150,6000,0.5,0.3,MEDIUM,0.30518412590026855
987,985,2533,350,150,5500,0.5,0.3,LOW,0.2293863296508789
24702,24644,"6402,3847,4359,2184,5774,1038,4884,3222,5784,7705,6682,26,3610,6685,2462,9500,5542,6823,4652,4141,4396,7990,8511,2497,5313,9284,6340,1478,1095,6089,5323,5072,4432,8656,8144,4316,4445,4960,1381,229,4325,486,8432,6001,7538,8944,1396,2037,1008,5631",350,150,5500,0.5,0.3,MEDIUM,0.314159631729126
49404,49296,"6661,8711,7693,17,3611,6686,5667,6693,8229,2088,1067,560,567,9282,1094,1095,4684,6224,3671,1115,7785,3179,4209,5239,2679,9857,6274,5254,4233,5771,5260,8846,7824,2200,669,3741,1190,7854,2744,8378,6854,9937,8915,7388,9437,2782,7917,8946,4858,5373,8960,5889,9486,4368,2320,6423,290,5923,806,9512,9513,9528,1871,336,3932,8543,8550,5994,2922,1388,8043,2419,7540,3449,2445,8593,8594,6546,1434,3002,2501,7632,5082,3037,5598,992,2020,5605,6124,7662,3055,7663,2035,7155,8182,3067,9216",350,150,5500,0.5,0.3,HIGH,0.34607434272766113
999,998,733,350,150,5000,0.5,0.3,LOW,0.21642088890075684
49401,49287,"5124,3077,6661,3089,7186,5652,9244,546,6699,8239,4656,9270,2117,1605,2127,9298,2133,5209,8800,7779,101,9830,6759,4200,3686,8300,9837,2159,1649,9331,9847,8826,1148,6786,644,8330,6287,9360,4756,3227,7326,3236,8359,1708,7867,4804,9925,4816,2770,3804,9949,5857,7906,4325,3321,766,9474,9485,6927,5911,1817,3868,7454,5414,3366,809,4395,5437,8513,2369,4426,6986,1875,3413,8029,6507,7037,5503,896,1921,4487,2964,2459,8097,4002,5539,946,7608,6072,6587,1467,3016,7632,2007,5080,5086,3557,1521,6131,4598,6649,9728",350,150,5000,0.5,0.3,HIGH,0.31615400314331055
24699,24642,"8066,3846,3719,264,3206,7307,6541,1933,6671,7569,1045,3735,8728,538,5663,5537,7331,4260,1576,7721,1066,5291,4142,5681,4146,6707,9651,3250,5941,1467,7617,8770,8131,9283,9539,8266,2380,716,3919,4432,3535,80,9427,8149,853,2139,4828,9947,8673,5487,1520,880,8949,5365,5241,9980",350,150,5000,0.5,0.3,MEDIUM,0.3420848846435547
49401,49295,"1030,7691,546,6183,9767,1067,7727,5172,6202,3143,6216,8782,9295,9294,8783,591,2650,9306,1629,8287,98,4202,9335,7800,4727,5246,7810,2693,651,8861,5789,1693,6826,1708,9389,176,6838,695,4289,710,9933,4325,1765,5352,4331,8427,9982,4865,8971,1294,9502,2338,802,8997,9002,6445,307,5943,9020,5949,2368,5971,9048,9563,7515,3939,1891,3431,5994,9579,1394,883,9594,384,6537,1932,6034,7570,917,407,5019,6051,6567,5035,5548,8624,2486,5564,8638,8639,2001,8665,8668,5087,6623,3045,9706,2542,7663",350,150,4500,0.5,0.3,HIGH,0.34407997131347656
996,995,6286,350,150,4500,0.5,0.3,LOW,0.23437285423278809
24714,24646,"1030,9609,5386,2314,2572,2445,5518,6155,9488,9867,663,2207,4511,2339,4647,6061,5165,687,5167,1841,4531,2104,6715,60,187,4415,8640,9025,6208,4803,1478,8010,8907,3788,1100,724,2007,5594,4062,9055,3041,2406,7271,2663,4459,5996,621,2157,9840,8306,119,9335,5625,6908",350,150,4500,0.5,0.3,MEDIUM,0.3061807155609131
49413,49293,"2053,2574,2064,532,4117,5654,1559,9243,7708,7201,8227,6182,9766,2094,8751,562,6194,1078,4154,3645,5696,1601,9304,5723,97,8292,5223,7787,4715,8301,7279,3701,6266,6779,1662,128,2178,648,1674,9870,1683,2713,6837,3771,7875,9923,5845,6381,1267,1276,2301,2813,2305,6917,6936,4376,797,8991,3362,7464,1839,8495,2865,2869,1872,6993,7505,4947,2900,868,7014,6515,2420,3444,6518,8578,3972,396,3984,2451,2455,920,1948,9116,7071,7077,7080,4012,4528,5576,8141,7121,3029,5078,6108,5598,8672,2020,3045,5097,3562,2541,4079,9201,3063,1016,509",350,150,4000,0.5,0.3,HIGH,0.30019688606262207
981,981,638,350,150,4000,0.5,0.3,LOW,0.25033020973205566
24705,24643,"9217,9349,6663,3725,7438,3470,2703,1945,3482,4507,1690,8992,8096,4130,6821,2096,6064,5811,9018,5563,5310,446,7232,2751,2243,2245,1478,5451,5846,4824,2906,607,4218,8553,4970,5483,8299,8557,495,2929,8562,9204,3445,245,4983,1530,3836,6141,9088",350,150,4000,0.5,0.3,MEDIUM,0.3041865825653076
1002,1000,7541,350,150,3500,0.5,0.3,LOW,0.23537039756774902
999,997,565,350,150,3000,0.5,0.3,LOW,0.1874983310699463
49416,49288,"5122,11,30,8735,4645,2093,2609,1586,4147,2612,3644,2109,66,5704,5705,1098,72,4168,2121,7759,3154,8794,8287,7268,1137,115,6264,4217,4730,3711,7815,3719,6279,3230,3242,1199,2738,6836,7350,2746,5307,9405,9918,7871,1220,9927,6855,4809,4300,7379,223,8930,2277,1786,7932,1797,2828,2317,7955,7957,2842,2849,6433,9510,5927,1830,2367,9024,7494,9543,5964,4437,1878,8023,2392,5465,6486,1880,8033,5989,4456,9072,883,2421,378,7550,3457,9601,400,4514,931,9128,9646,9137,9144,1475,9669,7632,6102,6615,2524,8669,6621,9182,1506,3559,8679,1519,9200,6129,6642,9726",350,150,3500,0.5,0.3,HIGH,0.36103367805480957
24699,24646,"1,3714,6531,4869,8710,7685,1288,4103,9227,9099,767,8082,790,7190,7962,3228,7459,5923,1067,6701,6574,3118,5552,4144,3250,5429,5557,5303,1464,7100,577,1347,963,7237,1226,9675,5455,9810,9556,4181,2009,5339,9949,351,1377,3938,2917,4220,6772,7287,7289,3580,1407",350,150,3500,0.5,0.3,MEDIUM,0.3211405277252197
49398,49295,"7182,2066,1043,4642,6183,1065,3117,46,8239,560,1590,569,5181,8766,8268,6738,8791,600,5723,6750,3687,9834,8813,4718,2159,4730,3709,1664,133,4745,5258,6283,7311,7829,9881,1194,684,8879,191,8389,8902,716,8408,3289,3805,2269,3807,4327,2288,6393,8955,769,7432,2316,3341,5905,4885,4886,8990,1326,2365,322,3394,841,2386,8032,5473,3936,2923,2416,9585,9078,377,3961,6536,9098,5515,8594,7059,8598,1942,8088,6556,5027,1446,7593,437,4543,4035,8133,7623,8664,985,8161,8163,3053,6126,7150,7152,3565,3570,2548,8182",350,150,3000,0.5,0.3,HIGH,0.3321115970611572
24693,24643,"1409,1157,1033,1806,3088,9623,1051,1308,1825,9250,1185,6445,430,559,8757,9398,2486,1334,1209,6586,8251,4668,7615,6979,4805,9927,9805,4560,9553,2769,2640,469,9432,5976,8668,1501,9446,8295,2536,2921,2790,492,2542,2034,378",350,150,3000,0.5,0.3,MEDIUM,0.30219173431396484
49395,49273,"7687,8,2571,525,8728,3097,7715,5155,8746,43,5677,2093,7729,9780,6709,9782,9804,4181,3159,9310,3172,2150,5113,5757,9854,4226,5253,5768,3210,140,1677,2700,8336,4763,4253,1695,6815,2207,682,2223,7344,3764,9402,9405,4294,6859,7884,8395,1228,719,4811,9428,5849,1246,8421,742,752,5361,3320,3847,269,5910,2327,7966,289,4392,8489,8512,3938,2412,878,1394,5494,8571,2940,4481,6022,8590,401,9628,9119,7590,7592,9640,8109,4526,6068,7604,8634,8635,4545,9155,8133,455,4041,9168,2516,8149,990,2531,5092,7660,9713,2547,1012,7669,2550,1523,7672,3065,5622,8192",350,150,2500,0.5,0.3,HIGH,0.34906649589538574
996,996,5485,350,150,2500,0.5,0.3,LOW,0.21043705940246582
24705,24632,"897,9090,902,3207,5384,4488,9100,1292,2065,4115,5523,2713,5402,2463,8740,9253,8100,552,3881,7342,2225,6326,4536,1982,448,8769,6848,7363,9410,580,6726,1094,6219,3148,973,4814,8783,8911,5073,4178,9938,8532,2005,1368,1240,9691,1885,8415,1634,6883,4091,3813,7912,3177,8941,7278,4209,8699,5876,4219,7552",350,150,2500,0.5,0.3,MEDIUM,0.33610081672668457
984,984,3705,350,150,2000,0.5,0.3,LOW,0.23537063598632812
49398,49285,"8210,7700,23,5656,3101,8226,35,5672,4140,9261,2094,2612,9785,4157,1087,8770,2119,1616,6225,81,8793,1632,7269,9325,9839,7800,2685,8328,4242,2198,3737,1689,6810,160,161,5800,5804,5816,4794,1723,2235,5312,1732,201,5834,6863,8412,8929,2283,6895,1779,776,4876,6413,6927,6417,1810,3864,1318,7975,9513,7978,8492,1842,5942,5431,5948,1341,5436,831,3904,4413,7498,1357,8537,8039,361,6507,7021,1390,372,4475,9602,6538,9099,3475,6041,1438,4525,4544,1473,9159,1992,8136,6603,4563,2016,8162,4096",350,150,2000,0.5,0.3,HIGH,0.33610057830810547
24693,24634,"6402,1922,517,1157,2442,9484,4748,4244,3092,4000,7201,9252,933,9639,3503,6831,6705,4658,2229,8501,1082,9148,4798,5054,8257,3651,2245,7367,4042,2506,7629,6224,9937,8146,1617,9815,9565,5341,609,5349,2793,8554,5872,6388,4342,4600,6010,3838",350,150,2000,0.5,0.3,MEDIUM,0.3370981216430664
49407,49292,"9235,7196,7709,7719,9773,575,64,8780,588,3669,3158,6231,3165,5729,1122,1640,8297,9838,9329,2166,5243,4733,6271,4735,7309,2192,8344,3231,3238,683,9397,8375,8390,4297,7372,9427,1749,7894,3804,7904,739,7400,7916,9965,5361,2294,3831,6407,5896,9483,1293,7441,4887,2329,6427,2848,3873,6946,1830,4912,8497,9013,9014,823,2872,4922,7997,833,2376,4950,5487,9597,398,924,2974,4002,4515,9127,7081,9129,8108,1460,8630,439,4023,1979,8640,4547,6601,7141,4070,9194,6133,2037,2039,7673,5115,3580",350,140,9500,0.5,0.3,HIGH,0.29122161865234375
996,996,9068,350,140,9500,0.5,0.3,LOW,0.22240447998046875
24699,24638,"9605,4871,3720,1420,3468,654,8334,2063,2576,9612,1932,8341,3607,4759,4251,3483,415,5409,3491,9763,1703,6700,6317,8879,5168,4914,7996,9278,451,1859,9799,3658,8011,9808,3536,6096,2515,7509,3287,94,5854,8568,4705,3687,2282,5098,6639,8559,5745,5751,1911,7035,5245,7423,3328",350,140,9500,0.5,0.3,MEDIUM,0.2712745666503906
999,998,9445,350,140,9000,0.5,0.3,LOW,0.20943999290466309
24696,24635,"2435,4996,773,5130,4236,18,4887,281,2844,4383,6689,4642,2595,1057,3621,1446,1063,6567,297,3239,9648,7601,4914,7475,9650,5429,1975,187,3646,191,7103,2494,8903,6729,9162,7883,460,3921,8920,220,7520,3809,3169,7528,9962,3052,2926,6908,9087",350,140,9000,0.5,0.3,MEDIUM,0.2842397689819336
49398,49293,"1027,4104,2058,2072,6170,9758,8734,1569,8741,8759,1609,5707,4698,2142,8805,9838,8817,6774,1152,3713,644,6795,1164,2189,8844,9361,5266,9879,8348,7329,8875,8373,3253,2759,2251,3282,1748,4826,9450,8943,8944,9970,1270,3320,8954,8960,4354,5892,5927,9004,4397,9012,1333,4920,1341,2879,3392,5955,3397,3918,2390,3932,9056,7522,867,362,5998,9591,1403,1917,3966,7049,7562,8601,5021,6568,1449,5035,7084,5037,3002,8638,7622,9670,8655,465,8146,9171,8658,7640,2520,9181,3551,7659,3056,2547,7670",350,140,9000,0.5,0.3,HIGH,0.31914591789245605
24684,24646,"5252,7941,1426,1683,8602,6554,8231,3495,5801,5163,1324,1070,2478,4403,6836,3509,7350,4665,4409,6715,9917,2494,6077,3397,1989,2758,6856,9808,9809,9296,1495,2263,2778,732,6238,4192,2408,2665,9579,9068,3052,1518,8177,7797,3318,5111,246,8439,2044",350,140,8500,0.5,0.3,MEDIUM,0.24933314323425293
984,982,1528,350,140,8500,0.5,0.3,LOW,0.20644783973693848
49410,49284,"2053,1032,16,7701,3605,4635,9755,3618,9251,7718,5162,3640,5183,3652,93,1642,7790,9326,6768,5234,6264,2175,7300,1676,2189,6805,8342,9377,3236,3241,6826,3756,685,5805,175,6321,3252,3768,9406,3265,1732,6350,4307,728,8924,9957,2792,3819,4846,7409,2804,5365,766,8967,8457,9486,1811,792,8483,3877,6949,3879,5413,809,3880,1330,9012,1333,308,5432,3391,320,1352,1359,3920,8529,9557,9051,7004,5472,3942,2941,3971,6532,7557,6027,912,3992,6553,4512,3490,6568,425,9642,1451,7084,432,8629,5559,7095,958,6594,5059,6084,460,3026,7124,8150,7653,3050,495,5105,4596,1012,7672",350,140,8500,0.5,0.3,HIGH,0.3231356143951416
49404,49295,"9734,519,5640,5138,4632,8221,2591,9249,7717,2086,1579,3118,6191,8243,9267,4149,1080,1082,7751,3659,8271,6233,5728,1128,619,8306,2676,9338,122,1661,646,5768,5769,9358,6804,5271,1178,1695,5281,2723,1702,5798,9392,4272,3253,3778,7886,5840,4309,5336,7395,747,1266,9462,4344,250,3834,6394,4356,8966,2311,7942,6409,8972,8469,4376,6936,7966,812,3905,835,8529,7519,3425,8036,1383,362,3946,9069,7031,1409,9092,9609,6538,2973,2462,7088,5048,6083,1478,3529,4555,6094,6618,8156,3548,8164,3049,5613,7150,495,8692",350,140,8000,0.5,0.3,HIGH,0.268282413482666
996,994,3647,350,140,8000,0.5,0.3,LOW,0.20245862007141113
24702,24645,"8843,9486,4623,1422,3729,6420,5909,406,7191,8982,6809,9498,8736,8609,4008,7725,174,7348,948,3253,54,6843,188,7740,8894,8772,6599,9289,458,590,5455,8143,2511,3285,8537,9817,219,1882,8799,5218,2789,5735,6764,9709,1519,8819,7541,377,3451",350,140,8000,0.5,0.3,MEDIUM,0.2712743282318115
999,997,31,350,140,7500,0.5,0.3,LOW,0.21642065048217773
49404,49296,"5649,9239,9242,30,8244,3132,9286,4178,6742,6234,9826,4195,9316,3178,2155,9836,1670,9874,8857,4249,9376,6306,7336,169,4782,8372,3260,4796,1726,8394,9422,4815,208,6864,9430,3286,9451,7916,7921,3826,9970,7924,1782,6902,2812,2813,6932,7960,7449,2854,4904,7981,8494,7989,3895,5951,5952,8511,2373,1864,9545,1867,9049,3418,1883,1370,1886,7017,2922,5484,3437,883,6516,4995,1939,2454,3479,3994,2975,415,935,1978,6588,9148,6079,6090,7629,2510,7128,7130,486,489,4586,7659,8685,8177,2553,6652",350,140,7500,0.5,0.3,HIGH,0.32114124298095703
24696,24628,"3719,9480,3207,6537,5389,9873,148,9494,2838,9371,2459,2845,4255,6393,1955,9896,3625,4394,7723,2553,2094,4531,8628,5944,3130,2877,5952,8896,6336,4167,456,4297,2133,9177,3801,2521,990,5729,7138,7651,9697,8679,2028,752,9716,2676,8566,6391,4599,4089,2555,2044,3453,3838,2944",350,140,7500,0.5,0.3,MEDIUM,0.2982022762298584
49392,49282,"1551,530,7716,5676,6701,9776,7731,5173,569,2617,2640,8789,8798,8800,5736,4720,2162,1140,5242,8316,639,3200,6273,5253,7308,8345,1700,3236,680,4282,699,700,3784,7369,1747,2265,8926,6883,6376,7918,4847,1777,6898,7938,6403,2839,5913,2329,1309,4386,6952,9007,2352,1333,5943,5432,2873,1338,5438,3910,9031,5450,8011,3407,6992,1873,7004,3946,4461,6008,3961,3451,9085,3966,9600,4483,6031,1424,9616,1943,4503,8091,3996,7581,4513,2984,9641,9650,5046,5569,4547,970,6093,7118,6100,7127,7129,1497,483,9699,6125,4598,6651",350,140,7000,0.5,0.3,HIGH,0.2982025146484375
987,986,4365,350,140,7000,0.5,0.3,LOW,0.19946670532226562
24696,24639,"8705,3976,5772,6926,526,401,4372,919,3229,8611,9125,9639,4778,2603,9900,7726,563,6329,9536,7873,578,6852,581,6218,845,9677,3023,6998,2137,7003,7004,6109,9443,6758,2407,1515,4975,5361,1010,8051,9717,4857,7420,3070,2687,1408",350,140,7000,0.5,0.3,MEDIUM,0.28523755073547363
1002,1000,1806,350,140,6500,0.5,0.3,LOW,0.18450641632080078
49386,49288,"9729,8707,3077,2056,5652,8729,9762,4131,7716,6696,7725,2608,7217,51,571,4675,581,4166,9802,80,86,9825,3182,4208,1137,3188,5758,4740,134,647,5781,9370,6301,1702,8878,7854,1713,4786,6652,4794,4282,6339,5327,4304,9434,9435,7395,3304,9969,7413,2808,8957,2813,2814,2304,2309,5382,2825,2328,8474,8993,1836,8499,3390,2884,8005,5959,9553,8021,9558,6486,1372,5992,9578,5994,370,2931,1909,6519,4983,8060,3459,901,7561,5520,7059,2451,4504,5025,954,3522,5579,2013,3551,2019,7659,7154,3060,8181,2036,2553,5628,8189",350,140,6500,0.5,0.3,HIGH,0.30817604064941406
24687,24638,"4354,2056,4363,8076,8717,2318,1172,4757,8342,5911,1687,153,27,7075,36,676,932,2355,9396,3891,1717,7738,1723,8124,8254,3521,9281,3138,7036,2889,9043,5972,9685,7765,3028,726,7643,5983,355,8165,2534,1385,8170,5098,6892,6765,8302,3695,3057,7668,1143,8056,9083,8316",350,140,6500,0.5,0.3,MEDIUM,0.2962076663970947
981,979,3796,350,140,6000,0.5,0.3,LOW,0.18849611282348633
