Item,Profit,Poids
4319,970,970
7883,97,97
1470,208,264
6257,679,679
5822,208,264
3151,485,485
7171,416,528
1563,388,388
8170,468,594
3479,291,291
7412,582,582
5603,873,873
4237,388,388
7239,260,330
1839,97,97
7575,312,396
768,679,679
9452,468,594
9559,873,873
1446,485,485
1499,468,594
6828,260,330
9843,97,97
6039,388,388
1546,970,970
6328,468,594
5761,291,291
7953,388,388
9274,416,528
5378,873,873
9137,97,97
8054,582,582
4837,52,66
8003,260,330
7091,468,594
5173,776,776
6523,679,679
5295,873,873
2995,582,582
3888,873,873
9781,520,660
7557,312,396
4512,208,264
465,388,388
4715,388,388
446,970,970
5789,582,582
8976,208,264
5533,679,679
2569,485,485
6252,156,198
190,156,198
3092,312,396
5751,97,97
4404,520,660
4280,388,388
2900,52,66
9288,970,970
1677,485,485
6749,52,66
8894,970,970
1415,52,66
6065,291,291
6847,364,462
3376,679,679
626,776,776
606,776,776
173,873,873
6883,873,873
6765,312,396
3003,970,970
7248,776,776
4361,582,582
1132,208,264
2187,208,264
2515,194,194
1147,388,388
1782,291,291
7154,520,660
699,582,582
6548,260,330
472,364,462
6455,485,485
7651,104,132
9586,776,776
8483,970,970
2649,312,396
9515,312,396
9337,485,485
9892,485,485
53,97,97
