Nom de la base,Nombre d'iteration,Taille liste Tabou,Poids MAx,Total weight,Total profit,Temps d'execution,Fichier solution
pi-13-100-1000-001.kna,1000000,1,970,960,1560,32.525567293167114,results/3/item_solutions/pi-13-100-1000-001.kna_1000000_1_items.csv
pi-13-100-1000-001.kna,1000000,10,970,969,1989,32.90218544006348,results/3/item_solutions/pi-13-100-1000-001.kna_1000000_10_items.csv
pi-13-100-1000-001.kna,1000000,15,970,969,1989,34.493696451187134,results/3/item_solutions/pi-13-100-1000-001.kna_1000000_15_items.csv
pi-13-100-1000-001.kna,1000000,20,970,969,1989,33.52549433708191,results/3/item_solutions/pi-13-100-1000-001.kna_1000000_20_items.csv
pi-13-100-1000-001.kna,1000000,5,970,956,1716,28.66398549079895,results/3/item_solutions/pi-13-100-1000-001.kna_1000000_5_items.csv
pi-13-100-1000-001.kna,100000,1,970,954,1794,2.9671339988708496,results/3/item_solutions/pi-13-100-1000-001.kna_100000_1_items.csv
pi-13-100-1000-001.kna,100000,10,970,954,1794,3.2131130695343018,results/3/item_solutions/pi-13-100-1000-001.kna_100000_10_items.csv
pi-13-100-1000-001.kna,100000,15,970,969,1989,3.614180326461792,results/3/item_solutions/pi-13-100-1000-001.kna_100000_15_items.csv
pi-13-100-1000-001.kna,100000,20,970,969,1989,3.517341375350952,results/3/item_solutions/pi-13-100-1000-001.kna_100000_20_items.csv
pi-13-100-1000-001.kna,100000,5,970,969,1989,3.6816494464874263,results/3/item_solutions/pi-13-100-1000-001.kna_100000_5_items.csv
pi-13-100-1000-001.kna,10000,1,970,969,1989,0.3237948417663574,results/3/item_solutions/pi-13-100-1000-001.kna_10000_1_items.csv
pi-13-100-1000-001.kna,10000,10,970,956,1716,0.3486459255218506,results/3/item_solutions/pi-13-100-1000-001.kna_10000_10_items.csv
pi-13-100-1000-001.kna,10000,15,970,958,1638,0.3667256832122803,results/3/item_solutions/pi-13-100-1000-001.kna_10000_15_items.csv
pi-13-100-1000-001.kna,10000,20,970,956,1716,0.3322145938873291,results/3/item_solutions/pi-13-100-1000-001.kna_10000_20_items.csv
pi-13-100-1000-001.kna,10000,5,970,969,1989,0.3256237506866455,results/3/item_solutions/pi-13-100-1000-001.kna_10000_5_items.csv
pi-13-100-1000-001.kna,1000,1,970,969,1989,0.0319695472717285,results/3/item_solutions/pi-13-100-1000-001.kna_1000_1_items.csv
pi-13-100-1000-001.kna,1000,10,970,969,1989,0.0405163764953613,results/3/item_solutions/pi-13-100-1000-001.kna_1000_10_items.csv
pi-13-100-1000-001.kna,1000,15,970,969,1989,0.035041332244873,results/3/item_solutions/pi-13-100-1000-001.kna_1000_15_items.csv
pi-13-100-1000-001.kna,1000,20,970,969,1989,0.0341572761535644,results/3/item_solutions/pi-13-100-1000-001.kna_1000_20_items.csv
pi-13-100-1000-001.kna,1000,5,970,969,1989,0.0320005416870117,results/3/item_solutions/pi-13-100-1000-001.kna_1000_5_items.csv
