Item,Profit,Poids
6314,390,190
6056,117,97
7949,585,485
7409,156,76
9666,351,171
4993,156,76
7769,702,582
8907,1053,873
2751,819,679
5582,117,97
891,585,485
9938,936,776
2177,351,291
4252,585,485
2243,156,76
1238,351,291
4777,117,97
6994,390,190
7652,312,152
1092,78,38
4311,351,291
1986,234,194
3422,312,152
3271,78,38
5674,1053,873
1738,39,19
8877,936,776
2882,156,76
556,234,194
1509,936,776
9169,351,171
3077,312,152
184,390,190
5938,156,76
6960,195,95
9030,702,582
906,312,152
7506,39,19
2348,390,190
690,585,485
6783,234,114
1686,351,171
2482,234,114
5149,117,57
88,312,152
6002,117,97
6112,117,97
9277,234,114
5906,117,97
3548,117,57
7081,156,76
1263,117,57
3217,702,582
8137,312,152
9454,936,776
1891,390,190
6422,819,679
8436,351,291
1441,195,95
3802,117,57
7282,1053,873
3277,312,152
4711,117,57
6256,351,171
1975,78,38
6070,1170,970
3208,117,97
510,351,171
3168,234,114
7182,585,485
6950,273,133
2922,936,776
9687,117,97
3814,156,76
241,78,38
8686,117,57
4034,78,38
7306,351,291
1413,390,190
1628,273,133
567,351,291
6108,351,171
2768,351,171
4756,1053,873
6367,117,57
9710,273,133
6696,702,582
3335,819,679
9351,234,194
7181,117,97
1959,273,133
134,234,194
9032,117,97
2938,39,19
7119,234,194
8139,78,38
1981,39,19
8270,1170,970
5060,351,171
410,936,776
5710,585,485
3036,585,485
169,936,776
9640,234,114
9524,234,114
5853,156,76
1158,351,291
1118,468,388
9418,117,57
5068,117,57
5107,234,194
3013,390,190
473,390,190
9455,351,171
8792,351,171
5271,351,291
8873,468,388
46,117,97
5589,117,97
6,78,38
