Nom de la base,Nombre d'iteration,Taille liste Tabou,Poids MAx,Total weight,Total profit,Temps d'execution,Fichier solution
pi-12-1000-1000-001.kna,1000,10,4556,4528,4514,0.2939746379852295,results2/item_solutions/pi-12-1000-1000-001.kna_1000_10_items.csv
pi-12-10000-1000-001.kna,100,5,45132,45132,42472,0.5407195091247559,results2/item_solutions/pi-12-10000-1000-001.kna_100_5_items.csv
pi-12-10000-1000-001.kna,500,5,45132,45128,42510,2.745490074157715,results2/item_solutions/pi-12-10000-1000-001.kna_500_5_items.csv
pi-13-1000-1000-001.kna,1000,1,3177,3167,5187,0.2187891006469726,results2/item_solutions/pi-13-1000-1000-001.kna_1000_1_items.csv
pi-13-1000-1000-001.kna,100,20,3177,3161,5421,0.0261626243591308,results2/item_solutions/pi-13-1000-1000-001.kna_100_20_items.csv
pi-13-1000-1000-001.kna,100,5,3177,3163,5343,0.028580904006958,results2/item_solutions/pi-13-1000-1000-001.kna_100_5_items.csv
pi-13-1000-1000-001.kna,50,15,3177,3167,5187,0.0200004577636718,results2/item_solutions/pi-13-1000-1000-001.kna_50_15_items.csv
pi-13-10000-1000-001.kna,500,20,31234,31219,43719,3.4992876052856445,results2/item_solutions/pi-13-10000-1000-001.kna_500_20_items.csv
pi-13-10000-1000-001.kna,50,10,31234,31233,44733,0.4487755298614502,results2/item_solutions/pi-13-10000-1000-001.kna_50_10_items.csv
pi-13-10000-1000-001.kna,50,5,31234,31221,43641,0.3657960891723633,results2/item_solutions/pi-13-10000-1000-001.kna_50_5_items.csv
pi-15-100-1000-001.kna,1000,1,997,996,1005,0.0216333866119384,results2/item_solutions/pi-15-100-1000-001.kna_1000_1_items.csv
pi-15-100-1000-001.kna,500,10,997,997,1005,0.0131890773773193,results2/item_solutions/pi-15-100-1000-001.kna_500_10_items.csv
pi-15-100-1000-001.kna,500,20,997,997,1005,0.0121381282806396,results2/item_solutions/pi-15-100-1000-001.kna_500_20_items.csv
pi-15-1000-1000-001.kna,1000,5,4816,4816,4839,0.2126204967498779,results2/item_solutions/pi-15-1000-1000-001.kna_1000_5_items.csv
pi-15-1000-1000-001.kna,100,5,4816,4816,4839,0.0202200412750244,results2/item_solutions/pi-15-1000-1000-001.kna_100_5_items.csv
pi-15-10000-1000-001.kna,50000,15,49297,49297,49434,250.4491512775421,results2/item_solutions/pi-15-10000-1000-001.kna_50000_15_items.csv
pi-15-10000-1000-001.kna,5000,10,49297,49297,49437,29.18310308456421,results2/item_solutions/pi-15-10000-1000-001.kna_5000_10_items.csv
pi-15-10000-1000-001.kna,5000,15,49297,49297,49428,33.32377004623413,results2/item_solutions/pi-15-10000-1000-001.kna_5000_15_items.csv
