Item,Profit,Poids
9717,819,679
8589,78,38
93,585,485
371,312,152
5941,390,190
8695,351,171
4963,702,582
2850,468,388
8049,234,194
9768,1053,873
6525,234,114
68,78,38
9826,390,190
5359,390,190
2232,234,114
9750,78,38
424,312,152
4911,1170,970
8187,390,190
9172,351,171
7526,39,19
6043,156,76
3713,351,171
2715,273,133
3630,156,76
921,117,57
4576,195,95
3372,585,485
2531,390,190
2108,351,291
9876,195,95
509,78,38
9832,78,38
8863,273,133
6524,39,19
8096,702,582
7063,78,38
6966,351,291
4128,195,95
4947,351,171
5462,390,190
6471,39,19
5193,156,76
6491,1170,970
6007,351,291
6929,117,57
964,936,776
4109,273,133
2486,273,133
127,234,114
1420,702,582
7940,117,57
3673,351,171
855,273,133
7446,156,76
5918,390,190
3248,936,776
7902,234,194
8820,351,291
5643,585,485
2534,78,38
1915,351,171
3386,39,19
8639,351,171
1812,351,171
5849,273,133
2027,351,171
1937,156,76
5415,234,194
1492,390,190
6605,312,152
5810,117,97
2089,117,57
6489,936,776
4368,312,152
9601,351,171
4891,234,114
5243,195,95
751,351,171
678,78,38
7749,234,114
3873,78,38
5602,702,582
9739,117,57
6767,1053,873
8657,351,171
449,117,57
4561,195,95
236,390,190
8640,273,133
1362,702,582
2935,273,133
4097,156,76
8473,351,291
8296,195,95
8140,351,171
4442,351,171
9329,1053,873
7826,936,776
6227,234,194
2121,1170,970
3663,351,171
9726,351,171
9583,234,194
5572,156,76
4662,1053,873
4528,117,57
8713,273,133
796,312,152
5068,117,57
1239,468,388
5339,390,190
215,273,133
3107,273,133
6879,819,679
6468,819,679
166,468,388
6327,39,19
1270,156,76
8319,234,114
886,312,152
9223,819,679
6285,234,114
4277,351,171
6343,468,388
3930,78,38
4535,156,76
5683,117,57
3475,273,133
36,390,190
2,39,19
